"BILL OF MATERIAL FROM TEST_WIDERSTAENDE_AUS_RCL.SCH, 29 PARTS, GROUPED BY VALUES, AS OF 05.10.2010 16:00:00"
"Part","Value","Device","Package","Description","Description2","Qty","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3",
"AUDIO_IN"," ","F25HP","F25HP","SUB-D"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"CPUMP1, CPUMP2, CVREG1, CVREG2","0.1u","C-EUC0402","C0402","CAPACITOR, European symbol","Keramik Kondensator, 0402, X5R, 10V, 0.1ÂµF","4"," "," ","Beta","147033","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=147033&x=0&y=0"," "," "," "," "," "," "," "
"CVBST1, CVBST2","100n, 250V","C-EUC0805","C0805","CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"CVDD1, CVDD2","1u","C-EUC0402","C0402","CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"DRV1, DRV2","DRV2667","DRV2667","QFN-20_9TH"," "," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"GND_LIFT","SWITCH_DPDT","SWITCH_DPDT","SWITCH_JS202011"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"JP1, JP2","HEADER_1X8-FEMALE","HEADER_1X8-FEMALE","1X08_2.54"," "," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"L1, L2","4.7u,1.25A","L-EUL3030","L3030","INDUCTOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"LED1","red","LED1206","LED-1206","LEDs"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"LED2","orange","LED1206","LED-1206","LEDs"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"LED3","yellow","LED1206","LED-1206","LEDs"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"LED_SUP","green","LED1206","LED-1206","LEDs"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"PIEZO_HEADER_A1"," ","PINHD-2X18","2X18","PIN HEADER"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"PWR","LUMBERG-1613-14"","LUMBERG-1613-14"","LUMBERG-1613_14"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"REXT1, REXT2","11.3k","R-EU_R0402","R0402","RESISTOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"RLED1, RLED2, RLED3","1.0k","R-EU_R0402","R0402","RESISTOR, European symbol"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"RLED_SUP, R_CLR, R_LOAD, R_OE, R_SCL, R_SDA","4.7k","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.0625W, 1%","6"," "," ","Beta","6980680","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6980680"," "," "," "," "," "," "," "
"RVBST1-1, RVBST2-1","768k","R-EU_R0402","R0402","RESISTOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"RVBST1-2, RVBST2-2","9.76k","R-EU_R0402","R0402","RESISTOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"R_1A, R_1B, R_1C, R_1D, R_1E, R_1F, R_1G, R_1H, R_1J, R_2A, R_2B, R_2C, R_2D, R_2E, R_2F, R_2G, R_2H, R_2J","3.65k","R-EU_R0402","R0402","RESISTOR, European symbol"," ","18"," "," "," "," "," "," "," "," "," "," "," "," "
"R_GND1, R_GND2","100k","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.0625W, 1%","2"," "," ","Beta","6986783","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6986783"," "," "," "," "," "," "," "
"SHIFTER1, SHIFTER2, SHIFTER3","SHIFT-REGISTER_74XX595QFN16","SHIFT-REGISTER_74XX595QFN16","QFN-16"," "," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"SSR_1AB, SSR_1CD, SSR_1EF, SSR_1GH, SSR_1J/2A, SSR_2BC, SSR_2DE, SSR_2FG, SSR_2HJ","SSR_COTO_C334S","SSR_COTO_C334S","SOP8"," "," ","9"," "," "," "," "," "," "," "," "," "," "," "," "
